approach,r2,rmse,importance,feature
xgb_gain,0.0,0.0,0.01367521379143,dg_pca_feature_71
xgb_gain,0.0,0.0,0.0051282052882016,dg_pca_feature_72
xgb_gain,0.0,0.0,0.0017094017239287,dg_pca_feature_73
xgb_gain,0.0,0.0,0.0017094017239287,dg_pca_feature_74
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_75
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_76
xgb_gain,0.0,0.0,0.0205128211528063,dg_pca_feature_77
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_78
xgb_gain,0.0,0.0,0.0034188034478575,dg_pca_feature_79
xgb_gain,0.0,0.0,0.0358974374830723,dg_pca_feature_80
xgb_gain,0.0,0.0,0.01367521379143,dg_pca_feature_81
xgb_gain,0.0,0.0,0.0017094017239287,dg_pca_feature_82
xgb_gain,0.0,0.0,0.0051282052882016,dg_pca_feature_83
xgb_gain,0.0,0.0,0.0051282052882016,dg_pca_feature_84
xgb_gain,0.0,0.0,0.0034188034478575,dg_pca_feature_85
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_86
xgb_gain,0.0,0.0,0.006837606895715,dg_pca_feature_87
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_88
xgb_gain,0.0,0.0,0.0102564105764031,dg_pca_feature_89
xgb_gain,0.0,0.0,0.0051282052882016,dg_pca_feature_90
xgb_gain,0.0,0.0,0.0034188034478575,dg_pca_feature_91
xgb_gain,0.0,0.0,0.0153846153989434,dg_pca_feature_92
xgb_gain,0.0,0.0,0.0119658121839166,dg_pca_feature_93
xgb_gain,0.0,0.0,0.0119658121839166,dg_pca_feature_94
xgb_gain,0.0,0.0,0.0170940179377794,dg_pca_feature_95
xgb_gain,0.0,0.0,0.0,dg_pca_feature_96
xgb_gain,0.0,0.0,0.006837606895715,dg_pca_feature_97
xgb_gain,0.0,0.0,0.0153846153989434,dg_pca_feature_98
xgb_gain,0.0,0.0,0.0119658121839166,dg_pca_feature_99
xgb_gain,0.0,0.0,0.0017094017239287,dg_pca_feature_100
xgb_gain,0.0,0.0,0.0599999986588955,road_density
xgb_gain,0.0,0.0,0.0,if_urban_builtup
xgb_gain,0.0,0.0,0.0,elevation
xgb_gain,0.0,0.0,0.0,slope
xgb_gain,0.0,0.0,0.0,precipitation
xgb_gain,0.0,0.0,0.0199999995529652,population
xgb_gain,0.0,0.0,0.0299999993294477,cell_tower_count
xgb_gain,0.0,0.0,0.0,wifi_count
xgb_gain,0.0,0.0,0.0700000002980232,num_mobile_devices
xgb_gain,0.0,0.0,0.0099999997764826,num_android_devices
xgb_gain,0.0,0.0,0.0700000002980232,num_ios_devices
xgb_gain,0.0,0.0,0.0399999991059303,radiance
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_1
xgb_gain,0.0,0.0,0.0,dg_pca_feature_2
xgb_gain,0.0,0.0,0.0,dg_pca_feature_3
xgb_gain,0.0,0.0,0.0,dg_pca_feature_4
xgb_gain,0.0,0.0,0.0,dg_pca_feature_5
xgb_gain,0.0,0.0,0.0,dg_pca_feature_6
xgb_gain,0.0,0.0,0.0,dg_pca_feature_7
xgb_gain,0.0,0.0,0.0,dg_pca_feature_8
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_9
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_10
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_11
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_12
xgb_gain,0.0,0.0,0.0,dg_pca_feature_13
xgb_gain,0.0,0.0,0.0,dg_pca_feature_14
xgb_gain,0.0,0.0,0.0,dg_pca_feature_15
xgb_gain,0.0,0.0,0.0,dg_pca_feature_16
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_17
xgb_gain,0.0,0.0,0.0,dg_pca_feature_18
xgb_gain,0.0,0.0,0.0,dg_pca_feature_19
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_20
xgb_gain,0.0,0.0,0.0,dg_pca_feature_21
xgb_gain,0.0,0.0,0.0,dg_pca_feature_22
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_23
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_24
xgb_gain,0.0,0.0,0.0,dg_pca_feature_25
xgb_gain,0.0,0.0,0.0,dg_pca_feature_26
xgb_gain,0.0,0.0,0.0,dg_pca_feature_27
xgb_gain,0.0,0.0,0.0,dg_pca_feature_28
xgb_gain,0.0,0.0,0.0,dg_pca_feature_29
xgb_gain,0.0,0.0,0.0700000002980232,dg_pca_feature_30
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_31
xgb_gain,0.0,0.0,0.0,dg_pca_feature_32
xgb_gain,0.0,0.0,0.0,dg_pca_feature_33
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_34
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_35
xgb_gain,0.0,0.0,0.0,dg_pca_feature_36
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_37
xgb_gain,0.0,0.0,0.0,dg_pca_feature_38
xgb_gain,0.0,0.0,0.0,dg_pca_feature_39
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_40
xgb_gain,0.0,0.0,0.0,dg_pca_feature_41
xgb_gain,0.0,0.0,0.0,dg_pca_feature_42
xgb_gain,0.0,0.0,0.0,dg_pca_feature_43
xgb_gain,0.0,0.0,0.0,dg_pca_feature_44
xgb_gain,0.0,0.0,0.0,dg_pca_feature_45
