iso2,GEOLEVEL2,rwi_weight,geolev2,rwi,country,pop_sum
BJ,204001001,-0.26514155078432183,204001001,-0.9237307485452052,Benin,269489.92219445953
BJ,204001002,-0.33387981186604954,204001002,-0.7293131372751454,Benin,125534.98416817022
BJ,204001003,-0.1506656020768673,204001003,-0.603521879325621,Benin,204717.26077473912
BJ,204001004,-0.3700501289632237,204001004,-1.023065151915563,Benin,89191.87153446984
BJ,204001005,-0.12076224768312444,204001005,-0.643904738429873,Benin,180093.33630111135
BJ,204001006,-0.3224190077177168,204001006,-1.1097726498346616,Benin,98203.60408726046
BJ,204002001,-0.32534780433557603,204002001,-1.023065151915563,Benin,88366.70368015012
BJ,204002002,-0.31937261470762784,204002002,-0.7732174399780064,Benin,65296.95631067784
BJ,204002003,-0.2816474880164851,204002003,-1.0949000785867962,Benin,106253.2658000759
BJ,204002004,-0.33248811114197463,204002004,-0.9871895511899276,Benin,122802.304372551
BJ,204002005,-0.2501194973050646,204002005,-0.9237307485452052,Benin,131277.55083830882
BJ,204002006,0.1407540660574597,204002006,-0.21052209798636992,Benin,111706.56809785806
BJ,204002007,-0.2395685183374702,204002007,-0.9237307485452052,Benin,84025.14057127188
BJ,204002008,-0.10990514429824014,204002008,-0.9237307485452052,Benin,90625.38979812585
BJ,204002009,-0.2686661193401032,204002009,-1.080027507338931,Benin,106421.89290468478
BJ,204003001,0.7690182173767823,204003001,1.0452727709747396,Benin,744817.040320727
BJ,204003002,0.008121226242313966,204003002,-0.5221976636198327,Benin,136917.4363400851
BJ,204003003,0.022103734656057573,204003003,-0.4801430347507671,Benin,82032.95585364541
BJ,204003004,0.4103733044535986,204003004,0.7431622464538281,Benin,204278.31914701164
BJ,204003005,-0.2966730479611534,204003005,-0.21052209798636992,Benin,23402.988599953365
BJ,204003006,-0.06433219068430987,204003006,-0.5197821917882003,Benin,61194.911344465225
BJ,204003007,-0.210515855560146,204003007,-0.7293131372751454,Benin,40878.288488731145
BJ,204003008,-0.19128854029942274,204003008,-0.7653415132505991,Benin,106598.19979080949
BJ,204004001,-0.22095327225164302,204004001,-0.7293131372751454,Benin,143220.00809373942
BJ,204004002,-0.3428693130090958,204004002,-1.0563096351965109,Benin,196587.47883319957
BJ,204004003,-0.10659591668100381,204004003,-0.7708733320125051,Benin,125397.85834078143
BJ,204004004,-0.19488573814004118,204004004,-0.9171276422435852,Benin,163965.80710296117
BJ,204004005,0.6860570914260133,204004005,1.2073093038280025,Benin,283404.6347883944
BJ,204004006,-0.21992144711531866,204004006,-1.0397107408883193,Benin,84091.40430787913
BJ,204004007,-0.10409873488642907,204004007,-0.7293131372751454,Benin,97342.533092454
BJ,204004008,-0.22796325203624215,204004008,-0.7776586057029827,Benin,252749.0460168706
BJ,204005001,0.057080007752395856,204005001,-0.4910255308636239,Benin,119507.1861570215
BJ,204005002,0.11979440197376472,204005002,-0.5696659640430128,Benin,120268.54860309456
BJ,204005003,0.01997303794248904,204005003,-0.4752885598970707,Benin,127941.31310529269
BJ,204005004,-0.17848536317013514,204005004,-0.6019467784563126,Benin,155413.50417432777
BJ,204005005,-0.01224863556277112,204005005,-0.4801430347507671,Benin,143772.73857777944
BJ,204005006,0.0424107144322455,204005006,-0.3204958615186346,Benin,94744.35923524419
BJ,204006001,0.17583107752618848,204006001,-0.574520438896709,Benin,157424.42872840154
BJ,204006002,-0.23472060419657415,204006002,-0.8236905414210872,Benin,163137.5591734956
BJ,204006003,-0.09031247626721602,204006003,-0.7040229766175334,Benin,105845.75685761312
BJ,204006004,-0.24815714352260962,204006004,-0.7337236826783143,Benin,114030.53566390759
BJ,204006005,-0.19906807827081793,204006005,-0.9873187397474462,Benin,134399.89819304846
BJ,204006006,-0.18313904792626626,204006006,-0.9171276422435852,Benin,105364.52127147888
BJ,204007001,-0.09036061174642128,204007001,-0.643904738429873,Benin,160175.11674941625
BJ,204007002,-0.24343854791626504,204007002,-0.7578895795081575,Benin,68801.23644742342
BJ,204007003,-0.08416653028746683,204007003,-0.41741414224741946,Benin,280616.6927179583
BJ,204007004,0.01997288068738572,204007004,-0.5738428294835308,Benin,98451.5392149363
BJ,204008001,1.1438130045553123,204008001,1.4188772290659628,Benin,809809.9507533872
BJ,204009001,-0.13784523800726353,204009001,-0.8941328835127774,Benin,66920.84022348543
BJ,204009002,-0.009136750474305932,204009002,-0.999544638997248,Benin,96691.23601119537
BJ,204009003,0.37357479670165666,204009003,0.3024107882286706,Benin,81943.2705145926
BJ,204009004,0.30397810142644194,204009004,-0.2805560632512735,Benin,57929.66616876367
BJ,204009005,0.0753700962485769,204009005,-0.7293131372751454,Benin,105001.31149314213
BJ,204009006,0.2963720852845516,204009006,-0.38136585374034937,Benin,122011.83728269926
BJ,204010001,0.5786547365158359,204010001,0.390385592372464,Benin,139086.78171654636
BJ,204010002,-0.11158248132272683,204010002,-0.6422916683491207,Benin,72527.59103918895
BJ,204010003,0.16667322318095196,204010003,-0.35339154628323466,Benin,18203.55054434769
BJ,204010004,0.5191612278543029,204010004,-0.12511369914109746,Benin,102364.34473993593
BJ,204010005,0.4427444539996277,204010005,-0.26516607990097163,Benin,109373.63037207538
BJ,204010006,-0.15943881015961817,204010006,-0.6423652904329339,Benin,42227.702277961005
BJ,204010007,-0.0310207419147242,204010007,-0.7293131372751454,Benin,105295.6451760675
BJ,204010008,1.116892425931214,204010008,1.2595864776708932,Benin,283426.13188378647
BJ,204010009,0.8092351513444327,204010009,0.7349557331667114,Benin,312308.217403477
