approach,r2,rmse
xgb_geo_fb_satellite_pca_100,0.81542318422926,0.3992296199325135
xgb_satellite_pca_100,0.6789259769621827,0.5502096944337513
xgb_geo_fb_satellite_pca_100,0.5367135896004345,0.5032364220729347
xgb_geo_fb_satellite_pca_100,0.5911356414033598,0.4144343550006158
xgb_geo_fb_satellite_pca_100,0.7255859128830624,0.4296461526861872
xgb_geo_fb_satellite_pca_100,0.4580361820879467,0.3513706057598347
xgb_geo_fb_satellite_pca_100,0.5516492067549391,0.4323690270423232
xgb_geo_fb_satellite_pca_100,0.6526163669394228,0.2312390373347844
xgb_geo_fb_satellite_pca_100,0.6550473161299508,0.3715411774832168
xgb_geo_fb_satellite_pca_100,0.562827431539505,0.5399732735636462
xgb_geo_fb_satellite_pca_100,0.5638446314488271,0.5242345712694648
xgb_geo_fb_satellite_pca_100,0.6534572947681213,0.2699476885076061
xgb_geo_fb_satellite_pca_100,0.3861354313269648,0.4131544131622427
xgb_geo_fb_satellite_pca_100,0.4087895130459975,0.550337629166192
xgb_geo_fb_satellite_pca_100,0.596113393779714,0.4721917710753077
xgb_geo_fb_satellite_pca_100,0.5907495661444009,0.4469044112725615
xgb_geo_fb_satellite_pca_100,0.6700607662704576,0.4302630117175312
xgb_geo_fb_satellite_pca_100,0.5627118659380052,0.4177806698248652
xgb_geo_fb_satellite_pca_100,0.4900791325734449,0.562420598483483
xgb_geo_fb_satellite_pca_100,0.5432937798378186,0.525456483397617
xgb_geo_fb_satellite_pca_100,0.6684204418389009,0.3917138206983852
xgb_geo_fb_satellite_pca_100,0.7644770066546196,0.4387351375568049
xgb_geo_fb_satellite_pca_100,0.6005231937293481,0.4343582325008746
xgb_geo_fb_satellite_pca_100,0.3928444236970901,0.6332063954314879
xgb_geo_fb_satellite_pca_100,0.57306591538192,0.4470187845396497
xgb_geo_fb_satellite_pca_100,0.5894392511973257,0.3713680040619551
xgb_geo_fb_satellite_pca_100,0.5489868970065037,0.5256751354129336
xgb_geo_fb_satellite_pca_100,0.5516997252720022,0.2740536759363046
xgb_geo_fb_satellite_pca_100,0.5724489653595427,0.5197591792465206
xgb_geo_fb_satellite_pca_100,0.5437372119536579,0.5177416433023583
xgb_geo_fb_satellite_pca_100,0.6121474063633858,0.4153451886187671
xgb_geo_fb_satellite_pca_100,0.6118506276308218,0.5017248647273802
xgb_geo_fb_satellite_pca_100,0.4631814183354771,0.5728098384528054
xgb_geo_fb_satellite_pca_100,0.7258109986309733,0.2855119003604517
xgb_geo_fb_satellite_pca_100,0.618593938449006,0.3854837936172925
xgb_geo_fb_satellite_pca_100,0.7222575204977658,0.4082523692257394
xgb_geo_fb_satellite_pca_100,0.440966248353923,0.3846568529542083
xgb_geo_fb_satellite_pca_100,0.5480345647527377,0.4201600012839779
xgb_geo_fb_satellite_pca_100,0.3386295339417169,0.6165889756660667
xgb_geo_fb_satellite_pca_100,0.7114836565834515,0.3882114365123669
xgb_geo_fb_satellite_pca_100,0.6731088054412143,0.2812984446352713
xgb_geo_fb_satellite_pca_100,0.7174207037411502,0.4510885981460999
xgb_geo_fb_satellite_pca_100,0.4314871705006745,0.4449018935404211
xgb_geo_fb_satellite_pca_100,0.5625568099328699,0.3023728282871113
xgb_geo_fb_satellite_pca_100,0.5415983721591553,0.3618253830911576
xgb_geo_fb_satellite_pca_100,0.5415668125500769,0.4953178081435489
xgb_geo_fb_satellite_pca_100,0.6166273527621149,0.4628461400009782
xgb_geo_fb_satellite_pca_100,0.4053385238796315,0.4230867082651705
xgb_geo_fb_satellite_pca_100,0.5892847448191517,0.5634695535862151
xgb_geo_fb_satellite_pca_100,0.2996224388544756,0.6787613694647419
xgb_geo_fb_satellite_pca_100,0.5942742515448382,0.4441730268406827
xgb_geo_fb_no_satellite,0.8292180255240431,0.4377226578509897
xgb_satellite_pca_100,0.5217258359185631,0.5070042119534367
xgb_satellite_pca_100,0.4027364337621607,0.4796748365872611
xgb_satellite_pca_100,0.3805250960263122,0.6453261038813912
xgb_satellite_pca_100,0.1634484348218396,0.4188478542813786
xgb_satellite_pca_100,0.3334159655982756,0.520287534388417
xgb_satellite_pca_100,0.2586382972155929,0.3541621760399506
xgb_satellite_pca_100,0.310064003469659,0.5413643858571489
xgb_satellite_pca_100,0.4088314419678201,0.5753592620247012
xgb_satellite_pca_100,0.3085075613780892,0.6534538354773728
xgb_satellite_pca_100,0.4888035877329996,0.3299093475744773
xgb_satellite_pca_100,0.3051535158764123,0.4530847498748912
xgb_satellite_pca_100,0.3045549363272974,0.5844786893735823
xgb_satellite_pca_100,0.5381039003947572,0.5388413852900772
