cv,r2,rmse
leave_one_country_out,0.7413876750274022,0.5714463598094455
leave_one_country_out,0.6124988186280776,0.5546659573652233
leave_one_country_out,0.7199141579623644,0.5118224418893759
leave_one_country_out,0.7135778933217016,0.529534800550735
leave_one_country_out,0.6333228540420306,0.7027562398989198
leave_one_country_out,0.5988036088989889,0.5891048262033349
leave_one_country_out,0.8398493172318586,0.3320208272755869
leave_one_country_out,0.6760484464892965,0.6583645035091988
leave_one_country_out,0.4156228376797535,0.6745104210339791
leave_one_country_out,0.6438427676046031,0.5577060297538575
leave_one_country_out,0.7845831970000259,0.3739681912194908
leave_one_country_out,0.6266182215016501,0.5422814205122589
leave_one_country_out,0.5522905479145516,0.6247573622106882
leave_one_country_out,0.6729076165174903,0.5578426238406784
leave_one_country_out,0.6339561063180501,0.5672204453566652
leave_one_country_out,0.597171160648348,0.5678188202902861
leave_one_country_out,0.7801832864253966,0.4814063478269544
leave_one_country_out,0.4697376180526237,0.6704140991765425
leave_one_country_out,0.4811219208915482,0.6001504359254606
leave_one_country_out,0.7522303590504901,0.5813337996792203
leave_one_country_out,0.6525474715910021,0.6480288663022727
leave_one_country_out,0.7006278167692274,0.5745737817260214
leave_one_country_out,0.4407383427758239,0.7636652628999253
leave_one_country_out,0.5950521735599488,0.5461234135901197
leave_one_country_out,0.6971788807034085,0.5252453163828626
leave_one_country_out,0.6331426546880018,0.5941891603158662
leave_one_country_out,0.6716292284205841,0.4064907541735303
leave_one_country_out,0.4421863353187298,0.6571566978381378
leave_one_country_out,0.570297924293332,0.6301445494046294
leave_one_country_out,0.5796150885354384,0.5518985737738732
leave_one_country_out,0.6646079662348882,0.561859879668955
leave_one_country_out,0.5278080748001245,0.6624270983360049
leave_one_country_out,0.834646693163486,0.4083021987621006
leave_one_country_out,0.6504357774726568,0.5577118319653621
leave_one_country_out,0.6475354715327247,0.5067236133032571
leave_one_country_out,0.7705793058869376,0.4994726206084538
leave_one_country_out,0.4604686742393684,0.667843039993176
leave_one_country_out,0.3804056621207742,0.7325551986230657
leave_one_country_out,0.7110570455822307,0.5019105176623676
leave_one_country_out,0.8013850579652672,0.554433823487744
leave_one_country_out,0.6868358755143774,0.5542794750599924
leave_one_country_out,0.7320919092508789,0.473708622980348
leave_one_country_out,0.592272950725905,0.5902970276134517
leave_one_country_out,0.6613588276437918,0.5162068586285118
leave_one_country_out,0.5693791399499403,0.6111742867076794
leave_one_country_out,0.6735420305129617,0.5376027507884418
leave_one_country_out,0.4004664321791125,0.5007038829953961
leave_one_country_out,0.6305132054311107,0.5980386697499055
leave_one_country_out,0.4137340611147446,0.7113056762130477
leave_one_country_out,0.6145314385857563,0.5385004901242676
spatial_cv,0.81542318422926,0.3992296199325135
spatial_cv,0.5367135896004345,0.5032364220729347
spatial_cv,0.5911356414033598,0.4144343550006158
spatial_cv,0.7255859128830624,0.4296461526861872
spatial_cv,0.4580361820879467,0.3513706057598347
spatial_cv,0.5516492067549391,0.4323690270423232
spatial_cv,0.6526163669394228,0.2312390373347844
spatial_cv,0.6550473161299508,0.3715411774832168
spatial_cv,0.562827431539505,0.5399732735636462
spatial_cv,0.5638446314488271,0.5242345712694648
spatial_cv,0.6534572947681213,0.2699476885076061
spatial_cv,0.3861354313269648,0.4131544131622427
spatial_cv,0.4087895130459975,0.550337629166192
